0x0080 128  €
0x0081 129  �
0x00C8 200 LATIN_CAPITAL_LETTER_E_WITH_GRAVE �
0x00C9 201 LATIN_CAPITAL_LETTER_E_WITH_ACUTE �
0x00CA 202 LATIN_CAPITAL_LETTER_E_WITH_CIRCUMFLEX �
0x00CB 203 LATIN_CAPITAL_LETTER_E_WITH_DIAERESIS �
0x00CC 204 LATIN_CAPITAL_LETTER_I_WITH_GRAVE �
0x00CD 205 LATIN_CAPITAL_LETTER_I_WITH_ACUTE �
0x00CE 206 LATIN_CAPITAL_LETTER_I_WITH_CIRCUMFLEX �
0x00CF 207 LATIN_CAPITAL_LETTER_I_WITH_DIAERESIS �
0x00D0 208 LATIN_CAPITAL_LETTER_ETH �
0x00D1 209 LATIN_CAPITAL_LETTER_N_WITH_TILDE �
0x00D2 210 LATIN_CAPITAL_LETTER_O_WITH_GRAVE �
0x00D3 211 LATIN_CAPITAL_LETTER_O_WITH_ACUTE �
0x00D4 212 LATIN_CAPITAL_LETTER_O_WITH_CIRCUMFLEX �
0x00D5 213 LATIN_CAPITAL_LETTER_O_WITH_TILDE �
0x00D6 214 LATIN_CAPITAL_LETTER_O_WITH_DIAERESIS �
0x00D7 215 MULTIPLICATION_SIGN �
0x00D8 216 LATIN_CAPITAL_LETTER_O_WITH_STROKE �
0x00D9 217 LATIN_CAPITAL_LETTER_U_WITH_GRAVE �
0x00DA 218 LATIN_CAPITAL_LETTER_U_WITH_ACUTE �
0x00DB 219 LATIN_CAPITAL_LETTER_U_WITH_CIRCUMFLEX �
0x00DC 220 LATIN_CAPITAL_LETTER_U_WITH_DIAERESIS �
0x00DD 221 LATIN_CAPITAL_LETTER_Y_WITH_ACUTE �
0x00DE 222 LATIN_CAPITAL_LETTER_THORN �
0x00DF 223 LATIN_SMALL_LETTER_SHARP_S �
0x00E0 224 LATIN_SMALL_LETTER_A_WITH_GRAVE �
0x00E1 225 LATIN_SMALL_LETTER_A_WITH_ACUTE �
0x00E2 226 LATIN_SMALL_LETTER_A_WITH_CIRCUMFLEX �
0x00E3 227 LATIN_SMALL_LETTER_A_WITH_TILDE �
0x00E4 228 LATIN_SMALL_LETTER_A_WITH_DIAERESIS �
0x00E5 229 LATIN_SMALL_LETTER_A_WITH_RING_ABOVE �
0x00E6 230 LATIN_SMALL_LETTER_AE �
0x00E7 231 LATIN_SMALL_LETTER_C_WITH_CEDILLA �
0x00E8 232 LATIN_SMALL_LETTER_E_WITH_GRAVE �
0x00E9 233 LATIN_SMALL_LETTER_E_WITH_ACUTE �
0x00EA 234 LATIN_SMALL_LETTER_E_WITH_CIRCUMFLEX �
0x00EB 235 LATIN_SMALL_LETTER_E_WITH_DIAERESIS �
0x00EC 236 LATIN_SMALL_LETTER_I_WITH_GRAVE �
0x00ED 237 LATIN_SMALL_LETTER_I_WITH_ACUTE �
0x00EE 238 LATIN_SMALL_LETTER_I_WITH_CIRCUMFLEX �
0x00EF 239 LATIN_SMALL_LETTER_I_WITH_DIAERESIS �
0x00F0 240 LATIN_SMALL_LETTER_ETH �
0x00F1 241 LATIN_SMALL_LETTER_N_WITH_TILDE �
0x00F2 242 LATIN_SMALL_LETTER_O_WITH_GRAVE �
0x00F3 243 LATIN_SMALL_LETTER_O_WITH_ACUTE �
0x00F4 244 LATIN_SMALL_LETTER_O_WITH_CIRCUMFLEX �
0x00F5 245 LATIN_SMALL_LETTER_O_WITH_TILDE �
0x00F6 246 LATIN_SMALL_LETTER_O_WITH_DIAERESIS �
0x00F7 247 DIVISION_SIGN �
0x00F8 248 LATIN_SMALL_LETTER_O_WITH_STROKE �
0x00F9 249 LATIN_SMALL_LETTER_U_WITH_GRAVE �
0x00FA 250 LATIN_SMALL_LETTER_U_WITH_ACUTE �
0x00FB 251 LATIN_SMALL_LETTER_U_WITH_CIRCUMFLEX �
0x00FC 252 LATIN_SMALL_LETTER_U_WITH_DIAERESIS �
0x00FD 253 LATIN_SMALL_LETTER_Y_WITH_ACUTE �
0x00FE 254 LATIN_SMALL_LETTER_THORN �
0x00FF 255 LATIN_SMALL_LETTER_Y_WITH_DIAERESIS �
0x0250 592 LATIN_SMALL_LETTER_TURNED_A ɐ
0x0251 593 LATIN_SMALL_LETTER_ALPHA ɑ
0x0252 594 LATIN_SMALL_LETTER_TURNED_ALPHA ɒ
0x0253 595 LATIN_SMALL_LETTER_B_WITH_HOOK ɓ
0x0254 596 LATIN_SMALL_LETTER_OPEN_O ɔ
0x0255 597 LATIN_SMALL_LETTER_C_WITH_CURL ɕ
0x0256 598 LATIN_SMALL_LETTER_D_WITH_TAIL ɖ
0x0257 599 LATIN_SMALL_LETTER_D_WITH_HOOK ɗ
0x0258 600 LATIN_SMALL_LETTER_REVERSED_E ɘ
0x0259 601 LATIN_SMALL_LETTER_SCHWA ə
0x025A 602 LATIN_SMALL_LETTER_SCHWA_WITH_HOOK ɚ
0x025B 603 LATIN_SMALL_LETTER_OPEN_E ɛ
0x025C 604 LATIN_SMALL_LETTER_REVERSED_OPEN_E ɜ
0x025D 605 LATIN_SMALL_LETTER_REVERSED_OPEN_E_WITH_HOOK ɝ
0x025E 606 LATIN_SMALL_LETTER_CLOSED_REVERSED_OPEN_E ɞ
0x025F 607 LATIN_SMALL_LETTER_DOTLESS_J_WITH_STROKE ɟ
0x0260 608 LATIN_SMALL_LETTER_G_WITH_HOOK ɠ
0x0261 609 LATIN_SMALL_LETTER_SCRIPT_G ɡ
0x0262 610 LATIN_LETTER_SMALL_CAPITAL_G ɢ
0x0263 611 LATIN_SMALL_LETTER_GAMMA ɣ
0x0264 612 LATIN_SMALL_LETTER_RAMS_HORN ɤ
0x0265 613 LATIN_SMALL_LETTER_TURNED_H ɥ
0x0266 614 LATIN_SMALL_LETTER_H_WITH_HOOK ɦ
0x0267 615 LATIN_SMALL_LETTER_HENG_WITH_HOOK ɧ
0x0268 616 LATIN_SMALL_LETTER_I_WITH_STROKE ɨ
0x0269 617 LATIN_SMALL_LETTER_IOTA ɩ
0x026A 618 LATIN_LETTER_SMALL_CAPITAL_I ɪ
0x026B 619 LATIN_SMALL_LETTER_L_WITH_MIDDLE_TILDE ɫ
0x026C 620 LATIN_SMALL_LETTER_L_WITH_BELT ɬ
0x026D 621 LATIN_SMALL_LETTER_L_WITH_RETROFLEX_HOOK ɭ
0x026E 622 LATIN_SMALL_LETTER_LEZH ɮ
0x026F 623 LATIN_SMALL_LETTER_TURNED_M ɯ
0x0270 624 LATIN_SMALL_LETTER_TURNED_M_WITH_LONG_LEG ɰ
0x0271 625 LATIN_SMALL_LETTER_M_WITH_HOOK ɱ
0x0272 626 LATIN_SMALL_LETTER_N_WITH_LEFT_HOOK ɲ
0x0273 627 LATIN_SMALL_LETTER_N_WITH_RETROFLEX_HOOK ɳ
0x0274 628 LATIN_LETTER_SMALL_CAPITAL_N ɴ
0x0275 629 LATIN_SMALL_LETTER_BARRED_O ɵ
0x0276 630 LATIN_LETTER_SMALL_CAPITAL_OE ɶ
0x0277 631 LATIN_SMALL_LETTER_CLOSED_OMEGA ɷ
0x0278 632 LATIN_SMALL_LETTER_PHI ɸ
0x0279 633 LATIN_SMALL_LETTER_TURNED_R ɹ
0x027A 634 LATIN_SMALL_LETTER_TURNED_R_WITH_LONG_LEG ɺ
0x027B 635 LATIN_SMALL_LETTER_TURNED_R_WITH_HOOK ɻ
0x027C 636 LATIN_SMALL_LETTER_R_WITH_LONG_LEG ɼ
0x027D 637 LATIN_SMALL_LETTER_R_WITH_TAIL ɽ
0x027E 638 LATIN_SMALL_LETTER_R_WITH_FISHHOOK ɾ
0x027F 639 LATIN_SMALL_LETTER_REVERSED_R_WITH_FISHHOOK ɿ
0x0280 640 LATIN_LETTER_SMALL_CAPITAL_R ʀ
0x0281 641 LATIN_LETTER_SMALL_CAPITAL_INVERTED_R ʁ
0x0282 642 LATIN_SMALL_LETTER_S_WITH_HOOK ʂ
0x0283 643 LATIN_SMALL_LETTER_ESH ʃ
0x0284 644 LATIN_SMALL_LETTER_DOTLESS_J_WITH_STROKE_AND_HOOK ʄ
0x0285 645 LATIN_SMALL_LETTER_SQUAT_REVERSED_ESH ʅ
0x0286 646 LATIN_SMALL_LETTER_ESH_WITH_CURL ʆ
0x0287 647 LATIN_SMALL_LETTER_TURNED_T ʇ
0x0288 648 LATIN_SMALL_LETTER_T_WITH_RETROFLEX_HOOK ʈ
0x0289 649 LATIN_SMALL_LETTER_U_BAR ʉ
0x028A 650 LATIN_SMALL_LETTER_UPSILON ʊ
0x028B 651 LATIN_SMALL_LETTER_V_WITH_HOOK ʋ
0x028C 652 LATIN_SMALL_LETTER_TURNED_V ʌ
0x028D 653 LATIN_SMALL_LETTER_TURNED_W ʍ
0x028E 654 LATIN_SMALL_LETTER_TURNED_Y ʎ
0x028F 655 LATIN_LETTER_SMALL_CAPITAL_Y ʏ
0x0290 656 LATIN_SMALL_LETTER_Z_WITH_RETROFLEX_HOOK ʐ
0x0291 657 LATIN_SMALL_LETTER_Z_WITH_CURL ʑ
0x0292 658 LATIN_SMALL_LETTER_EZH ʒ
0x0293 659 LATIN_SMALL_LETTER_EZH_WITH_CURL ʓ
0x0294 660 LATIN_LETTER_GLOTTAL_STOP ʔ
0x0295 661 LATIN_LETTER_PHARYNGEAL_VOICED_FRICATIVE ʕ
0x0296 662 LATIN_LETTER_INVERTED_GLOTTAL_STOP ʖ
0x0297 663 LATIN_LETTER_STRETCHED_C ʗ
0x0298 664 LATIN_LETTER_BILABIAL_CLICK ʘ
0x0299 665 LATIN_LETTER_SMALL_CAPITAL_B ʙ
0x029A 666 LATIN_SMALL_LETTER_CLOSED_OPEN_E ʚ
0x029B 667 LATIN_LETTER_SMALL_CAPITAL_G_WITH_HOOK ʛ
0x029C 668 LATIN_LETTER_SMALL_CAPITAL_H ʜ
0x029D 669 LATIN_SMALL_LETTER_J_WITH_CROSSED-TAIL ʝ
0x029E 670 LATIN_SMALL_LETTER_TURNED_K ʞ
0x029F 671 LATIN_LETTER_SMALL_CAPITAL_L ʟ
0x02A0 672 LATIN_SMALL_LETTER_Q_WITH_HOOK ʠ
0x02A1 673 LATIN_LETTER_GLOTTAL_STOP_WITH_STROKE ʡ
0x02A2 674 LATIN_LETTER_REVERSED_GLOTTAL_STOP_WITH_STROKE ʢ
0x02A3 675 LATIN_SMALL_LETTER_DZ_DIGRAPH ʣ
0x02A4 676 LATIN_SMALL_LETTER_DEZH_DIGRAPH ʤ
0x02A5 677 LATIN_SMALL_LETTER_DZ_DIGRAPH_WITH_CURL ʥ
0x02A6 678 LATIN_SMALL_LETTER_TS_DIGRAPH ʦ
0x02A7 679 LATIN_SMALL_LETTER_TESH_DIGRAPH ʧ
0x02A8 680 LATIN_SMALL_LETTER_TC_DIGRAPH_WITH_CURL ʨ
0x02A9 681 LATIN_SMALL_LETTER_FENG_DIGRAPH ʩ
0x02AA 682 LATIN_SMALL_LETTER_LS_DIGRAPH ʪ
0x02AB 683 LATIN_SMALL_LETTER_LZ_DIGRAPH ʫ
0x02AC 684 LATIN_LETTER_BILABIAL_PERCUSSIVE ʬ
0x02AD 685 LATIN_LETTER_BIDENTAL_PERCUSSIVE ʭ


Spacing_Modifier_Letters

0x02B0 688 MODIFIER_LETTER_SMALL_H ʰ
0x02B1 689 MODIFIER_LETTER_SMALL_H_WITH_HOOK ʱ
0x02B2 690 MODIFIER_LETTER_SMALL_J ʲ
0x02B3 691 MODIFIER_LETTER_SMALL_R ʳ
0x02B4 692 MODIFIER_LETTER_SMALL_TURNED_R ʴ
0x02B5 693 MODIFIER_LETTER_SMALL_TURNED_R_WITH_HOOK ʵ
0x02B6 694 MODIFIER_LETTER_SMALL_CAPITAL_INVERTED_R ʶ
0x02B7 695 MODIFIER_LETTER_SMALL_W ʷ
0x02B8 696 MODIFIER_LETTER_SMALL_Y ʸ
0x02B9 697 MODIFIER_LETTER_PRIME ʹ
0x02BA 698 MODIFIER_LETTER_DOUBLE_PRIME ʺ
0x02BB 699 MODIFIER_LETTER_TURNED_COMMA ʻ
0x02BC 700 MODIFIER_LETTER_APOSTROPHE ʼ
0x02BD 701 MODIFIER_LETTER_REVERSED_COMMA ʽ
0x02BE 702 MODIFIER_LETTER_RIGHT_HALF_RING ʾ
0x02BF 703 MODIFIER_LETTER_LEFT_HALF_RING ʿ
0x02C0 704 MODIFIER_LETTER_GLOTTAL_STOP ˀ
0x02C1 705 MODIFIER_LETTER_REVERSED_GLOTTAL_STOP ˁ
0x02C2 706 MODIFIER_LETTER_LEFT_ARROWHEAD ˂
0x02C3 707 MODIFIER_LETTER_RIGHT_ARROWHEAD ˃
0x02C4 708 MODIFIER_LETTER_UP_ARROWHEAD ˄
0x02C5 709 MODIFIER_LETTER_DOWN_ARROWHEAD ˅
0x02C6 710 MODIFIER_LETTER_CIRCUMFLEX_ACCENT ˆ
0x02C7 711 CARON ˇ
0x02C8 712 MODIFIER_LETTER_VERTICAL_LINE ˈ
0x02C9 713 MODIFIER_LETTER_MACRON ˉ
0x02CA 714 MODIFIER_LETTER_ACUTE_ACCENT ˊ
0x02CB 715 MODIFIER_LETTER_GRAVE_ACCENT ˋ
0x02CC 716 MODIFIER_LETTER_LOW_VERTICAL_LINE ˌ
0x02CD 717 MODIFIER_LETTER_LOW_MACRON ˍ
0x02CE 718 MODIFIER_LETTER_LOW_GRAVE_ACCENT ˎ
0x02CF 719 MODIFIER_LETTER_LOW_ACUTE_ACCENT ˏ
0x02D0 720 MODIFIER_LETTER_TRIANGULAR_COLON ː
0x02D1 721 MODIFIER_LETTER_HALF_TRIANGULAR_COLON ˑ
0x02D2 722 MODIFIER_LETTER_CENTRED_RIGHT_HALF_RING ˒
0x02D3 723 MODIFIER_LETTER_CENTRED_LEFT_HALF_RING ˓
0x02D4 724 MODIFIER_LETTER_UP_TACK ˔
0x02D5 725 MODIFIER_LETTER_DOWN_TACK ˕
0x02D6 726 MODIFIER_LETTER_PLUS_SIGN ˖
0x02D7 727 MODIFIER_LETTER_MINUS_SIGN ˗
0x02D8 728 BREVE ˘
0x02D9 729 DOT_ABOVE ˙
0x02DA 730 RING_ABOVE ˚
0x02DB 731 OGONEK ˛
0x02DC 732 SMALL_TILDE ˜
0x02DD 733 DOUBLE_ACUTE_ACCENT ˝
0x02DE 734 MODIFIER_LETTER_RHOTIC_HOOK ˞
0x02DF 735 MODIFIER_LETTER_CROSS_ACCENT ˟
0x02E0 736 MODIFIER_LETTER_SMALL_GAMMA ˠ
0x02E1 737 MODIFIER_LETTER_SMALL_L ˡ
0x02E2 738 MODIFIER_LETTER_SMALL_S ˢ
0x02E3 739 MODIFIER_LETTER_SMALL_X ˣ
0x02E4 740 MODIFIER_LETTER_SMALL_REVERSED_GLOTTAL_STOP ˤ
0x02E5 741 MODIFIER_LETTER_EXTRA-HIGH_TONE_BAR ˥
0x02E6 742 MODIFIER_LETTER_HIGH_TONE_BAR ˦
0x02E7 743 MODIFIER_LETTER_MID_TONE_BAR ˧
0x02E8 744 MODIFIER_LETTER_LOW_TONE_BAR ˨
0x02E9 745 MODIFIER_LETTER_EXTRA-LOW_TONE_BAR ˩
0x02EA 746 MODIFIER_LETTER_YIN_DEPARTING_TONE_MARK ˪
0x02EB 747 MODIFIER_LETTER_YANG_DEPARTING_TONE_MARK ˫
0x02EC 748 MODIFIER_LETTER_VOICING ˬ
0x02ED 749 MODIFIER_LETTER_UNASPIRATED ˭
0x02EE 750 MODIFIER_LETTER_DOUBLE_APOSTROPHE ˮ


Combining_Diacritical_Marks

0x0300 768 COMBINING_GRAVE_ACCENT ̀
0x0301 769 COMBINING_ACUTE_ACCENT ́
0x0302 770 COMBINING_CIRCUMFLEX_ACCENT ̂
0x0303 771 COMBINING_TILDE ̃
0x0304 772 COMBINING_MACRON ̄
0x0305 773 COMBINING_OVERLINE ̅
0x0306 774 COMBINING_BREVE ̆
0x0307 775 COMBINING_DOT_ABOVE ̇
0x0308 776 COMBINING_DIAERESIS ̈
0x0309 777 COMBINING_HOOK_ABOVE ̉
0x030A 778 COMBINING_RING_ABOVE ̊
0x030B 779 COMBINING_DOUBLE_ACUTE_ACCENT ̋
0x030C 780 COMBINING_CARON ̌
0x030D 781 COMBINING_VERTICAL_LINE_ABOVE ̍
0x030E 782 COMBINING_DOUBLE_VERTICAL_LINE_ABOVE ̎
0x030F 783 COMBINING_DOUBLE_GRAVE_ACCENT ̏
0x0310 784 COMBINING_CANDRABINDU ̐
0x0311 785 COMBINING_INVERTED_BREVE ̑
0x0312 786 COMBINING_TURNED_COMMA_ABOVE ̒
0x0313 787 COMBINING_COMMA_ABOVE ̓
0x0314 788 COMBINING_REVERSED_COMMA_ABOVE ̔
0x0315 789 COMBINING_COMMA_ABOVE_RIGHT ̕
0x0316 790 COMBINING_GRAVE_ACCENT_BELOW ̖
0x0317 791 COMBINING_ACUTE_ACCENT_BELOW ̗
0x0318 792 COMBINING_LEFT_TACK_BELOW ̘
0x0319 793 COMBINING_RIGHT_TACK_BELOW ̙
0x031A 794 COMBINING_LEFT_ANGLE_ABOVE ̚
0x031B 795 COMBINING_HORN ̛
0x031C 796 COMBINING_LEFT_HALF_RING_BELOW ̜
0x031D 797 COMBINING_UP_TACK_BELOW ̝
0x031E 798 COMBINING_DOWN_TACK_BELOW ̞
0x031F 799 COMBINING_PLUS_SIGN_BELOW ̟
0x0320 800 COMBINING_MINUS_SIGN_BELOW ̠
0x0321 801 COMBINING_PALATALIZED_HOOK_BELOW ̡
0x0322 802 COMBINING_RETROFLEX_HOOK_BELOW ̢
0x0323 803 COMBINING_DOT_BELOW ̣
0x0324 804 COMBINING_DIAERESIS_BELOW ̤
0x0325 805 COMBINING_RING_BELOW ̥
0x0326 806 COMBINING_COMMA_BELOW ̦
0x0327 807 COMBINING_CEDILLA ̧
0x0328 808 COMBINING_OGONEK ̨
0x0329 809 COMBINING_VERTICAL_LINE_BELOW ̩
0x032A 810 COMBINING_BRIDGE_BELOW ̪
0x032B 811 COMBINING_INVERTED_DOUBLE_ARCH_BELOW ̫
0x032C 812 COMBINING_CARON_BELOW ̬
0x032D 813 COMBINING_CIRCUMFLEX_ACCENT_BELOW ̭
0x032E 814 COMBINING_BREVE_BELOW ̮
0x032F 815 COMBINING_INVERTED_BREVE_BELOW ̯
0x0330 816 COMBINING_TILDE_BELOW ̰
0x0331 817 COMBINING_MACRON_BELOW ̱
0x0332 818 COMBINING_LOW_LINE ̲
0x0333 819 COMBINING_DOUBLE_LOW_LINE ̳
0x0334 820 COMBINING_TILDE_OVERLAY ̴
0x0335 821 COMBINING_SHORT_STROKE_OVERLAY ̵
0x0336 822 COMBINING_LONG_STROKE_OVERLAY ̶
0x0337 823 COMBINING_SHORT_SOLIDUS_OVERLAY ̷
0x0338 824 COMBINING_LONG_SOLIDUS_OVERLAY ̸
0x0339 825 COMBINING_RIGHT_HALF_RING_BELOW ̹
0x033A 826 COMBINING_INVERTED_BRIDGE_BELOW ̺
0x033B 827 COMBINING_SQUARE_BELOW ̻
0x033C 828 COMBINING_SEAGULL_BELOW ̼
0x033D 829 COMBINING_X_ABOVE ̽
0x033E 830 COMBINING_VERTICAL_TILDE ̾
0x033F 831 COMBINING_DOUBLE_OVERLINE ̿
0x0340 832 COMBINING_GRAVE_TONE_MARK ̀
0x0341 833 COMBINING_ACUTE_TONE_MARK ́
0x0342 834 COMBINING_GREEK_PERISPOMENI ͂
0x0343 835 COMBINING_GREEK_KORONIS ̓
0x0344 836 COMBINING_GREEK_DIALYTIKA_TONOS ̈́
0x0345 837 COMBINING_GREEK_YPOGEGRAMMENI ͅ
0x0346 838 COMBINING_BRIDGE_ABOVE ͆
0x0347 839 COMBINING_EQUALS_SIGN_BELOW ͇
0x0348 840 COMBINING_DOUBLE_VERTICAL_LINE_BELOW ͈
0x0349 841 COMBINING_LEFT_ANGLE_BELOW ͉
0x034A 842 COMBINING_NOT_TILDE_ABOVE ͊
0x034B 843 COMBINING_HOMOTHETIC_ABOVE ͋
0x034C 844 COMBINING_ALMOST_EQUAL_TO_ABOVE ͌
0x034D 845 COMBINING_LEFT_RIGHT_ARROW_BELOW ͍
0x034E 846 COMBINING_UPWARDS_ARROW_BELOW ͎
0x0360 864 COMBINING_DOUBLE_TILDE ͠
0x0361 865 COMBINING_DOUBLE_INVERTED_BREVE ͡
0x0362 866 COMBINING_DOUBLE_RIGHTWARDS_ARROW_BELOW ͢
0x0400 1024 CYRILLIC_CAPITAL_LETTER_IE_WITH_GRAVE Ѐ
0x0401 1025 CYRILLIC_CAPITAL_LETTER_IO Ё
0x0402 1026 CYRILLIC_CAPITAL_LETTER_DJE Ђ
0x0403 1027 CYRILLIC_CAPITAL_LETTER_GJE Ѓ
0x0404 1028 CYRILLIC_CAPITAL_LETTER_UKRAINIAN_IE Є
0x0405 1029 CYRILLIC_CAPITAL_LETTER_DZE Ѕ
0x0406 1030 CYRILLIC_CAPITAL_LETTER_BYELORUSSIAN-UKRAINIAN_I І
0x0407 1031 CYRILLIC_CAPITAL_LETTER_YI Ї
0x0408 1032 CYRILLIC_CAPITAL_LETTER_JE Ј
0x0409 1033 CYRILLIC_CAPITAL_LETTER_LJE Љ
0x040A 1034 CYRILLIC_CAPITAL_LETTER_NJE Њ
0x040B 1035 CYRILLIC_CAPITAL_LETTER_TSHE Ћ
0x040C 1036 CYRILLIC_CAPITAL_LETTER_KJE Ќ
0x040D 1037 CYRILLIC_CAPITAL_LETTER_I_WITH_GRAVE Ѝ
0x040E 1038 CYRILLIC_CAPITAL_LETTER_SHORT_U Ў
0x040F 1039 CYRILLIC_CAPITAL_LETTER_DZHE Џ
0x0410 1040 CYRILLIC_CAPITAL_LETTER_A А
0x0411 1041 CYRILLIC_CAPITAL_LETTER_BE Б
0x0412 1042 CYRILLIC_CAPITAL_LETTER_VE В
0x0413 1043 CYRILLIC_CAPITAL_LETTER_GHE Г
0x0414 1044 CYRILLIC_CAPITAL_LETTER_DE Д
0x0415 1045 CYRILLIC_CAPITAL_LETTER_IE Е
0x0416 1046 CYRILLIC_CAPITAL_LETTER_ZHE Ж
0x0417 1047 CYRILLIC_CAPITAL_LETTER_ZE З
0x0418 1048 CYRILLIC_CAPITAL_LETTER_I И
0x0419 1049 CYRILLIC_CAPITAL_LETTER_SHORT_I Й
0x041A 1050 CYRILLIC_CAPITAL_LETTER_KA К
0x041B 1051 CYRILLIC_CAPITAL_LETTER_EL Л
0x041C 1052 CYRILLIC_CAPITAL_LETTER_EM М
0x041D 1053 CYRILLIC_CAPITAL_LETTER_EN Н
0x041E 1054 CYRILLIC_CAPITAL_LETTER_O О
0x041F 1055 CYRILLIC_CAPITAL_LETTER_PE П
0x0420 1056 CYRILLIC_CAPITAL_LETTER_ER Р
0x0421 1057 CYRILLIC_CAPITAL_LETTER_ES С
0x0422 1058 CYRILLIC_CAPITAL_LETTER_TE Т
0x0423 1059 CYRILLIC_CAPITAL_LETTER_U У
0x0424 1060 CYRILLIC_CAPITAL_LETTER_EF Ф
0x0425 1061 CYRILLIC_CAPITAL_LETTER_HA Х
0x0426 1062 CYRILLIC_CAPITAL_LETTER_TSE Ц
0x0427 1063 CYRILLIC_CAPITAL_LETTER_CHE Ч
0x0428 1064 CYRILLIC_CAPITAL_LETTER_SHA Ш
0x0429 1065 CYRILLIC_CAPITAL_LETTER_SHCHA Щ
0x042A 1066 CYRILLIC_CAPITAL_LETTER_HARD_SIGN Ъ
0x042B 1067 CYRILLIC_CAPITAL_LETTER_YERU Ы
0x042C 1068 CYRILLIC_CAPITAL_LETTER_SOFT_SIGN Ь
0x042D 1069 CYRILLIC_CAPITAL_LETTER_E Э
0x042E 1070 CYRILLIC_CAPITAL_LETTER_YU Ю
0x042F 1071 CYRILLIC_CAPITAL_LETTER_YA Я
0x0430 1072 CYRILLIC_SMALL_LETTER_A а
0x0431 1073 CYRILLIC_SMALL_LETTER_BE б
0x0432 1074 CYRILLIC_SMALL_LETTER_VE в
0x0433 1075 CYRILLIC_SMALL_LETTER_GHE г
0x0434 1076 CYRILLIC_SMALL_LETTER_DE д
0x0435 1077 CYRILLIC_SMALL_LETTER_IE е
0x0436 1078 CYRILLIC_SMALL_LETTER_ZHE ж
0x0437 1079 CYRILLIC_SMALL_LETTER_ZE з
